Open,Close,High,Low,Volume,Date
6.5775,6.7475,6.7675,6.5775,,02/22/22
6.485,6.5425,6.58,6.47,,02/18/22
6.455,6.5,6.52,6.4275,,02/17/22
6.3775,6.47,6.4775,6.3625,,02/16/22
6.55,6.38,6.555,6.355,,02/15/22
6.5125,6.5575,6.5675,6.425,,02/14/22
6.41,6.51,6.5775,6.3775,,02/11/22
6.46,6.4175,6.6275,6.3875,,02/10/22
6.3225,6.4675,6.4775,6.305,,02/09/22
6.365,6.3225,6.3675,6.2725,,02/08/22
6.2875,6.3525,6.3675,6.2475,,02/07/22
6.185,6.205,6.2325,6.1325,,02/04/22
6.225,6.1675,6.2425,6.1025,,02/03/22
6.345,6.225,6.4075,6.1675,,02/02/22
6.26,6.3475,6.395,6.245,,02/01/22
6.3575,6.26,6.425,6.225,,01/31/22
6.2325,6.36,6.3725,6.23,,01/28/22
6.25,6.2525,6.2775,6.2125,,01/27/22
6.19,6.27,6.2775,6.15,,01/26/22
6.2,6.2,6.31,6.185,,01/25/22
6.175,6.21,6.215,6.0925,,01/24/22
6.075,6.1625,6.185,6.0425,,01/21/22
6.09,6.11,6.1425,6.0625,,01/20/22
6,6.105,6.145,6,,01/19/22
5.9275,5.995,6.0075,5.8825,,01/18/22
5.875,5.9625,5.9825,5.8525,,01/14/22
5.99,5.875,5.9975,5.8525,,01/13/22
6.01,5.99,6.04,5.91,,01/12/22
5.9975,6.01,6.0475,5.98,,01/11/22
6.0525,5.9975,6.08,5.9625,,01/10/22
6.0525,6.0675,6.0825,5.99,,01/07/22
6.0125,6.0375,6.0575,5.96,,01/06/22
6.085,6.0225,6.0975,6.0125,,01/05/22
5.9175,6.095,6.1125,5.915,,01/04/22
5.99,5.8925,6.035,5.8475,,01/03/22
5.9575,5.9325,5.9925,5.925,,12/31/21
6.055,5.96,6.06,5.9275,,12/30/21
6.04,6.055,6.1075,5.995,,12/29/21
6.1425,6.0475,6.1775,6.0375,,12/28/21
6.0825,6.1475,6.155,6.07,,12/27/21
6.015,6.0575,6.07,6.005,,12/23/21
5.975,6.025,6.0675,5.97,,12/22/21
5.91,5.9825,5.99,5.895,,12/21/21
5.95,5.91,5.9575,5.87,,12/20/21
5.91,5.9325,5.9875,5.8925,,12/17/21
5.875,5.9125,5.92,5.845,,12/16/21
0,5.8575,5.965,5.82,,12/15/21
5.8325,5.8875,5.91,5.7675,,12/14/21
5.875,5.8425,5.88,5.8075,,12/13/21
5.885,5.885,5.92,5.85,,12/10/21
5.8575,5.885,5.9125,5.7675,,12/09/21
5.85,5.8475,5.89,5.84,,12/08/21
5.84,5.8625,5.895,5.795,,12/07/21
5.86,5.835,5.86,5.78,,12/06/21
5.7625,5.86,5.8875,5.7625,,12/03/21
5.7125,5.77,5.83,5.7,,12/02/21
5.68,5.72,5.76,5.67,,12/01/21
5.81,5.67,5.82,5.62,,11/30/21
5.86,5.81,5.8825,5.765,,11/29/21
5.715,5.8675,5.88,5.6675,,11/26/21
5.8025,5.7975,5.89,5.755,,11/24/21
5.7625,5.805,5.81,5.725,,11/23/21
5.705,5.7675,5.79,5.6975,,11/22/21
5.73,5.7075,5.76,5.68,,11/19/21
5.75,5.73,5.83,5.72,,11/18/21
5.7075,5.7525,5.84,5.7,,11/17/21
5.76,5.71,5.775,5.7,,11/16/21
5.7625,5.765,5.7875,5.6975,,11/15/21
5.6925,5.7725,5.82,5.6675,,11/12/21
5.6775,5.695,5.79,5.66,,11/11/21
5.555,5.6925,5.7175,5.55,,11/10/21
5.51,5.5475,5.64,5.4775,,11/09/21
5.52,5.515,5.5475,5.495,,11/08/21
5.6,5.53,5.6275,5.5225,,11/05/21
5.6375,5.5925,5.6975,5.565,,11/04/21
5.72,5.64,5.7325,5.63,,11/03/21
5.7825,5.73,5.86,5.72,,11/02/21
5.68,5.79,5.82,5.6525,,11/01/21
5.625,5.6825,5.6925,5.5875,,10/29/21
5.565,5.6275,5.6875,5.54,,10/28/21
5.425,5.5725,5.6325,5.395,,10/27/21
5.38,5.435,5.4725,5.33,,10/26/21
5.37,5.38,5.42,5.35,,10/25/21
5.33,5.38,5.4,5.32,,10/22/21
5.39,5.3225,5.4,5.3075,,10/21/21
5.3,5.3925,5.4,5.285,,10/20/21
5.32,5.3025,5.37,5.295,,10/19/21
5.2575,5.3275,5.3375,5.23,,10/18/21
5.1625,5.2575,5.285,5.1425,,10/15/21
5.1225,5.1675,5.1825,5.11,,10/14/21
5.23,5.1225,5.2525,5.0675,,10/13/21
5.3275,5.225,5.33,5.1925,,10/12/21
5.3,5.33,5.34,5.2875,,10/11/21
5.3325,5.305,5.3875,5.3,,10/08/21
5.3275,5.34,5.3525,5.275,,10/07/21
5.37,5.3225,5.4475,5.315,,10/06/21
5.4,5.375,5.43,5.3525,,10/05/21
5.4,5.4075,5.475,5.36,,10/04/21
5.3675,5.415,5.4525,5.32,,10/01/21
5.39,5.3675,5.485,5.2725,,09/30/21
5.335,5.39,5.41,5.335,,09/29/21
5.3875,5.325,5.4175,5.32,,09/28/21
5.2475,5.395,5.4,5.24,,09/27/21
5.285,5.2675,5.2875,5.24,,09/24/21
5.245,5.2925,5.31,5.2025,,09/23/21
5.17,5.255,5.2625,5.16,,09/22/21
5.22,5.17,5.2275,5.1275,,09/21/21
5.27,5.2175,5.27,5.1525,,09/20/21
5.29,5.2725,5.305,5.2175,,09/17/21
5.335,5.295,5.375,5.28,,09/16/21
0,5.335,5.345,0,,09/15/21
4.97,5.03,5.0225,4.97,,09/14/21
5.035,4.9675,5.035,4.93,,09/13/21
4.99,5.0275,5.05,4.8775,,09/10/21
4.985,4.96,5,4.945,,09/09/21
4.975,4.9825,5.04,4.95,,09/08/21
5.09,4.9575,5.09,4.96,,09/07/21
5.1675,5.08,5.1825,5.0675,,09/03/21
5.155,5.1625,5.21,5.1,,09/02/21
5.34,5.155,5.35,5.1425,,09/01/21
5.4,5.34,5.42,5.24,,08/31/21
5.5725,5.4025,5.6,5.315,,08/30/21
5.53,5.58,5.5875,5.4875,,08/27/21
5.5,5.5275,5.5575,5.48,,08/26/21
5.445,5.5125,5.55,5.4125,,08/25/21
5.395,5.445,5.465,5.37,,08/24/21
5.36,5.38,5.4425,5.315,,08/23/21
5.5025,5.3875,5.5425,5.3325,,08/20/21
5.605,5.5,5.605,5.4675,,08/19/21
5.59,5.6175,5.635,5.565,,08/18/21
5.675,5.5825,5.695,5.5625,,08/17/21
5.6825,5.6475,5.72,5.61,,08/16/21
5.6675,5.6825,5.75,5.59,,08/13/21
5.5475,5.67,5.895,5.485,,08/12/21
5.4875,5.5625,5.585,5.4825,,08/11/21
5.485,5.4925,5.5025,5.44,,08/10/21
5.54,5.5025,5.56,5.47,,08/09/21
5.55,5.55,5.605,5.4875,,08/06/21
5.4675,5.5575,5.6075,5.4575,,08/05/21
5.505,5.4575,5.5525,5.4025,,08/04/21
5.5575,5.505,5.635,5.4675,,08/03/21
5.4725,5.5875,5.5925,5.4025,,08/02/21
5.57,5.47,5.5775,5.465,,07/30/21
5.4925,5.58,5.59,5.465,,07/29/21
5.54,5.4925,5.5425,5.45,,07/28/21
5.54,5.4875,5.64,5.4425,,07/27/21
5.45,5.4975,0,5.3675,,07/26/21
5.6475,5.4725,5.6925,5.445,,07/23/21
5.715,5.645,5.7175,5.55,,07/22/21
5.72,5.7175,5.79,5.6775,,07/21/21
5.58,5.7175,5.7625,5.5725,,07/20/21
5.7,5.56,5.715,5.4875,,07/19/21
5.64,5.56,5.705,5.5325,,07/16/21
0,5.6425,0,5.61,,07/15/21
6.82,6.83,6.87,6.82,,07/14/21
6.695,6.77,7.505,6.64,,07/13/21
6.2975,6.6925,6.66,6.195,,07/12/21
6.4075,6.2975,6.435,6.2,,07/09/21
6.575,6.38,6.595,6.36,,07/08/21
6.56,6.525,6.66,6.45,,07/07/21
6.8525,6.56,6.8525,6.455,,07/06/21
7.2,6.9725,7.27,6.83,,07/02/21
7.1975,7.1975,7.445,7.1225,,07/01/21
6.94,7.2,7.4325,6.755,,06/30/21
6.7825,6.945,7,6.68,,06/29/21
6.3775,6.7525,6.765,6.3675,,06/28/21
6.5325,6.365,6.595,6.34,,06/25/21
6.64,6.5325,6.64,6.5075,,06/24/21
6.605,6.6425,6.6625,6.5925,,06/23/21
6.6275,6.5975,6.68,6.5375,,06/22/21
6.4025,6.5925,6.65,6.36,,06/21/21
6.31,6.5525,6.635,6.295,,06/18/21
6.7275,6.33,6.7425,6.33,,06/17/21
6.7,6.73,6.8775,6.6375,,06/16/21
6.6275,6.675,6.685,6.4675,,06/15/21
6.7575,6.5925,6.7625,6.53,,06/14/21
6.995,6.845,7.03,6.73,,06/11/21
6.91,6.99,7.175,6.8775,,06/10/21
6.825,6.9075,6.955,6.695,,06/09/21
6.82,6.8,6.98,6.775,,06/08/21
6.95,6.7925,7.0625,6.745,,06/07/21
6.635,6.8275,6.8575,6.6075,,06/04/21
6.755,6.62,6.85,6.5275,,06/03/21
6.8325,6.75,6.9425,6.66,,06/02/21
6.66,6.8875,6.9675,6.6075,,06/01/21
6.6625,6.5675,6.7275,6.5125,,05/28/21
6.26,6.645,6.645,6.2125,,05/27/21
6.21,6.245,6.29,6.0275,,05/26/21
6.6,6.2025,6.6175,6.1725,,05/25/21
6.5225,6.5725,6.585,6.455,,05/24/21
6.6475,6.595,6.6675,6.535,,05/21/21
6.6225,6.645,6.7125,6.565,,05/20/21
6.605,6.5825,6.63,6.37,,05/19/21
6.535,6.5825,6.695,6.525,,05/18/21
6.4225,6.525,6.5675,6.33,,05/17/21
7.1725,6.4375,7.1875,6.85,,05/14/21
7.575,7.19,7.69,7.175,,05/13/21
7.6425,7.575,7.6925,7.5,,05/12/21
7.4725,7.595,7.715,7.4725,,05/11/21
7.6675,7.48,7.705,7.4475,,05/10/21
7.6325,7.7275,7.75,7.55,,05/07/21
7.61,7.595,7.68,7.4625,,05/06/21
7.5,7.5325,7.56,7.4075,,05/05/21
7.32,7.4475,7.5825,7.3,,05/04/21
7.4,7.3225,7.5825,7.24,,05/03/21
7.025,7.4,7.4625,6.9925,,04/30/21
6.8375,7.02,7.045,6.81,,04/29/21
6.9775,6.8625,7.205,6.7625,,04/28/21
6.885,6.955,7.205,6.805,,04/27/21
6.61,6.805,6.805,6.61,,04/26/21
6.53,6.555,6.585,6.3825,,04/23/21
6.2425,6.505,6.505,6.235,,04/22/21
6.095,6.255,6.285,6.045,,04/21/21
5.93,6.065,6.1175,5.9275,,04/20/21
5.8875,5.92,5.9675,5.8825,,04/19/21
5.905,5.855,5.9475,5.8325,,04/16/21
5.9425,5.9,6.015,5.8775,,04/15/21
5.7975,5.94,5.9775,5.7875,,04/14/21
5.69,5.8,5.845,5.655,,04/13/21
5.7775,5.69,5.86,5.6725,,04/12/21
5.79,5.7725,5.95,5.755,,04/09/21
5.6075,5.7975,5.83,5.5925,,04/08/21
5.5575,5.605,5.6225,5.5375,,04/07/21
5.5375,5.5425,5.615,5.5225,,04/06/21
5.6125,5.5325,5.645,5.4975,,04/05/21
0,5.5975,0,0,,04/02/21
5.75,5.5975,5.85,5.565,,04/01/21
5.3825,5.6425,5.6425,5.3625,,03/31/21
5.4625,5.3925,5.475,5.3375,,03/30/21
5.5175,5.4675,5.52,5.4225,,03/29/21
5.465,5.525,5.54,5.44,,03/26/21
5.5225,5.465,5.525,5.415,,03/25/21
5.51,5.5325,5.5375,5.4825,,03/24/21
5.5125,5.5125,5.56,5.4775,,03/23/21
5.58,5.49,5.5875,5.4675,,03/22/21
5.4625,5.5775,5.59,5.455,,03/19/21
5.5675,5.465,5.58,5.4525,,03/18/21
5.54,5.58,5.585,5.52,,03/17/21
5.495,5.5425,5.555,5.4675,,03/16/21
5.37,5.495,5.5075,5.3275,,03/15/21
5.45,5.4925,5.515,5.445,,03/12/21
5.47,5.55,5.5625,5.47,,03/11/21
5.645,5.4775,5.645,5.475,,03/10/21
5.65,5.62,5.65,5.5425,,03/09/21
5.6525,5.65,5.7125,5.57,,03/08/21
5.45,5.62,5.6475,5.445,,03/05/21
5.5025,5.4625,5.5425,5.46,,03/04/21
5.6,5.5025,5.6,5.48,,03/03/21
5.4725,5.6075,5.64,5.42,,03/02/21
5.605,5.475,5.625,5.47,,03/01/21
5.545,5.555,5.565,5.4625,,02/26/21
5.59,5.5475,5.605,5.425,,02/25/21
5.535,5.5925,5.6075,5.52,,02/24/21
5.5075,5.5375,5.595,5.5,,02/23/21
5.4425,5.51,5.515,5.435,,02/22/21
5.4925,5.4275,5.555,5.4075,,02/19/21
5.5275,5.5025,5.545,5.48,,02/18/21
5.52,5.53,5.5475,5.475,,02/17/21
5.47,5.5225,5.5275,5.385,,02/16/21
5.41,5.3875,5.4625,5.3675,,02/12/21
5.3225,5.41,5.465,5.2475,,02/11/21
5.56,5.345,5.5625,5.3175,,02/10/21
5.65,5.5625,5.7425,5.45,,02/09/21
5.4875,5.6375,5.6575,5.4875,,02/08/21
5.485,5.485,5.5225,5.455,,02/05/21
5.52,5.5,5.58,5.47,,02/04/21
5.4325,5.52,5.525,5.365,,02/03/21
5.4975,5.43,5.525,5.4025,,02/02/21
5.49,5.4925,5.5575,5.39,,02/01/21
5.345,5.47,5.5375,5.3325,,01/29/21
5.3325,5.345,5.505,5.29,,01/28/21
5.325,5.34,5.4375,5.295,,01/27/21
5.13,5.3225,5.3425,5.08,,01/26/21
5,5.115,5.155,4.925,,01/25/21
5.225,5.005,5.2275,4.9925,,01/22/21
5.21,5.2425,5.315,5.1925,,01/21/21
5.25,5.22,5.265,5.1275,,01/20/21
5.315,5.26,5.3425,5.2325,,01/19/21
5.34,5.315,5.365,5.2775,,01/15/21
5.23,5.3425,5.365,5.19,,01/14/21
5.24,5.245,5.415,5.2225,,01/13/21
4.915,5.1725,5.1725,4.8925,,01/12/21
4.965,4.9225,5.005,4.9025,,01/11/21
4.94,4.9625,4.995,4.925,,01/08/21
4.95,4.94,4.96,4.8725,,01/07/21
4.925,4.95,5.0275,4.915,,01/06/21
4.845,4.9175,4.96,4.825,,01/05/21
4.8725,4.8375,4.9775,4.795,,01/04/21
4.74,4.84,4.8575,4.73,,12/31/20
4.66,4.745,4.76,4.62,,12/30/20
4.5575,4.66,4.6725,4.535,,12/29/20
4.52,4.565,4.575,4.48,,12/28/20
4.4675,4.51,4.515,4.465,,12/24/20
4.4275,4.4725,4.4975,4.415,,12/23/20
4.4,4.435,4.4425,4.3725,,12/22/20
4.38,4.4,4.4075,4.3025,,12/21/20
4.3225,4.375,4.385,4.32,,12/18/20
4.2625,4.325,4.33,4.2425,,12/17/20
4.2525,4.2725,4.2925,4.2375,,12/16/20
0,4.2475,4.2525,4.205,,12/15/20
4.2475,4.1925,4.2975,4.22,,12/14/20
4.22,4.2425,4.245,4.175,,12/11/20
4.22,4.2025,4.2575,4.2,,12/10/20
4.18,4.22,4.2225,4.18,,12/09/20
4.1875,4.17,4.19,4.155,,12/08/20
4.1525,4.195,4.21,4.12,,12/07/20
4.2225,4.17,4.2275,4.1575,,12/04/20
4.1925,4.225,4.2325,4.1775,,12/03/20
4.145,4.19,4.1975,4.09,,12/02/20
4.2,4.1475,4.23,4.14,,12/01/20
4.275,4.1975,4.305,4.1825,,11/30/20
4.2025,4.255,4.2625,4.185,,11/27/20
4.26,4.2,4.275,4.2,,11/25/20
4.2575,4.2575,4.265,4.165,,11/24/20
4.275,4.265,4.2975,4.235,,11/23/20
4.2225,4.2325,4.28,4.215,,11/20/20
4.245,4.225,4.255,4.1875,,11/19/20
4.19,4.2575,4.285,4.185,,11/18/20
4.175,4.2025,4.22,4.1725,,11/17/20
4.09,4.1625,4.1675,4.09,,11/16/20
4.075,4.105,4.1325,4.0375,,11/13/20
4.1725,4.0825,4.185,4.0625,,11/12/20
4.225,4.1725,4.28,4.1625,,11/11/20
4.07,4.23,4.2725,4.0625,,11/10/20
4.0575,4.075,4.1,4.0175,,11/09/20
4.09,4.0675,4.12,4.0575,,11/06/20
4.05,4.0925,4.1725,4.04,,11/05/20
4,4.0525,4.06,3.965,,11/04/20
3.9625,4.01,4.0325,3.9525,,11/03/20
3.96,3.975,3.9775,3.93,,11/02/20
3.9725,3.985,4,3.9425,,10/30/20
4.01,3.985,4.0425,3.93,,10/29/20
4.15,4.015,4.1525,4.005,,10/28/20
4.1675,4.16,4.2225,4.155,,10/27/20
4.1875,4.1775,0,4.1275,,10/26/20
4.1925,4.1875,4.1975,4.17,,10/25/20
4.15,4.1925,4.2,4.14,,10/23/20
4.1375,4.1625,4.19,4.1075,,10/22/20
4.0825,4.1375,4.1525,4.0775,,10/21/20
4.0425,4.0875,4.0975,4.035,,10/20/20
4.0175,4.0525,4.0675,4.0075,,10/19/20
4.0325,4.02,4.09,4.0175,,10/16/20
3.96,4.0375,4.0425,3.935,,10/15/20
3.91,3.965,3.975,3.88,,10/14/20
3.89,3.9125,3.9275,3.88,,10/13/20
3.955,3.89,3.9925,3.8725,,10/12/20
3.87,3.95,3.9825,3.865,,10/09/20
3.89,3.87,3.945,3.865,,10/08/20
3.845,3.8875,3.92,3.84,,10/07/20
3.785,3.85,3.8925,3.785,,10/06/20
3.7875,3.795,3.825,3.7775,,10/05/20
3.815,3.7975,3.8325,3.7725,,10/02/20
3.79,3.8275,3.855,3.78,,10/01/20
3.6425,3.79,3.8275,3.62,,09/30/20
3.6675,3.6475,3.6775,3.61,,09/29/20
3.6425,3.6675,3.6975,3.605,,09/28/20
3.6325,3.6525,3.675,3.63,,09/25/20
3.68,3.635,3.6825,3.63,,09/24/20
3.6825,3.685,3.7025,3.6575,,09/23/20
3.6975,3.6925,3.7325,3.6575,,09/22/20
3.775,3.6975,3.7825,3.6825,,09/21/20
3.7425,3.785,3.7925,3.7325,,09/18/20
3.715,3.7525,3.7725,3.68,,09/17/20
3.655,3.7175,3.72,3.6175,,09/16/20
0,3.66,0,3.6525,,09/15/20
3.6675,3.575,3.6675,3.59,,09/14/20
3.555,3.65,3.66,3.555,,09/11/20
3.4975,3.5725,3.5775,3.4975,,09/10/20
3.4975,3.5,3.5125,3.485,,09/09/20
3.48,3.51,3.53,3.46,,09/08/20
3.44,3.4725,3.49,3.435,,09/04/20
3.4975,3.445,3.5,3.4375,,09/03/20
3.4925,3.4975,3.505,3.4525,,09/02/20
3.4775,3.495,3.5,3.4325,,09/01/20
3.4875,3.485,3.53,3.46,,08/31/20
3.4325,3.46,3.4775,3.4075,,08/28/20
3.4,3.4425,3.4475,3.39,,08/27/20
3.4025,3.405,3.4125,3.3725,,08/26/20
3.35,3.4075,3.415,3.3475,,08/25/20
3.28,3.3175,3.325,3.275,,08/24/20
3.2475,3.27,3.2775,3.2425,,08/21/20
3.2425,3.245,3.2575,3.2075,,08/20/20
3.26,3.25,3.2725,3.235,,08/19/20
3.3,3.27,3.32,3.2575,,08/18/20
3.27,3.31,3.31,3.265,,08/17/20
3.245,3.245,3.2525,3.215,,08/14/20
3.15,3.2525,3.275,3.1475,,08/13/20
3.1125,3.145,3.15,3.08,,08/12/20
3.1125,3.115,3.15,3.1025,,08/11/20
3.075,3.105,3.1175,3.075,,08/10/20
3.11,3.0775,3.1175,3.0725,,08/07/20
3.105,3.1125,3.1275,3.095,,08/06/20
3.09,3.11,3.1125,3.09,,08/05/20
3.165,3.0825,3.1675,3.0825,,08/04/20
3.15,3.175,3.1825,3.15,,08/03/20
3.1575,3.16,3.175,3.145,,07/31/20
3.155,3.1575,3.1925,3.1525,,07/30/20
3.2,3.155,3.215,3.1525,,07/29/20
3.23,3.2,3.235,3.2,,07/28/20
3.2525,3.25,3.275,3.2325,,07/27/20
3.28,3.2625,3.2975,3.255,,07/24/20
3.2725,3.28,3.295,3.25,,07/23/20
3.23,3.275,3.28,3.2225,,07/22/20
3.2775,3.2275,3.2775,3.22,,07/21/20
3.33,3.2825,3.335,3.26,,07/20/20
3.3025,3.33,3.3475,3.3025,,07/17/20
3.26,3.3025,3.3325,3.26,,07/16/20
0,3.2625,3.2875,3.2275,,07/15/20
3.34,3.3475,3.365,3.245,,07/14/20
3.3725,3.34,3.3725,3.32,,07/13/20
3.5025,3.405,3.52,3.4,,07/10/20
3.49,3.5125,3.565,3.4825,,07/09/20
3.435,3.4825,3.485,3.41,,07/08/20
3.475,3.45,3.475,3.4175,,07/07/20
3.4825,3.465,3.49,3.4525,,07/06/20
3.475,3.425,3.5025,3.4225,,07/02/20
3.385,3.4825,3.5125,3.375,,07/01/20
3.2525,3.385,3.42,3.2375,,06/30/20
3.1675,3.2625,3.265,3.16,,06/29/20
3.17,3.17,3.1975,3.135,,06/26/20
3.235,3.1725,3.2425,3.15,,06/25/20
3.245,3.2425,3.29,3.2375,,06/24/20
3.275,3.25,3.275,3.2125,,06/23/20
3.32,3.2825,3.3225,3.28,,06/22/20
3.2975,3.325,3.3375,3.275,,06/19/20
3.2975,3.31,3.3375,3.2875,,06/18/20
3.28,3.3025,3.3125,3.25,,06/17/20
3.3175,3.29,3.345,3.28,,06/16/20
3.2925,3.2925,3.3,3.255,,06/15/20
3.295,3.3,3.33,3.2825,,06/12/20
3.26,3.2975,3.31,3.2525,,06/11/20
3.2725,3.2625,3.28,3.2425,,06/10/20
3.3225,3.275,3.34,3.2675,,06/09/20
3.335,3.3375,3.3475,3.31,,06/08/20
3.2875,3.3125,3.325,3.2825,,06/05/20
3.2425,3.29,3.295,3.24,,06/04/20
3.2425,3.24,3.245,3.2125,,06/03/20
3.235,3.2425,3.2525,3.22,,06/02/20
3.255,3.2325,3.2775,3.1925,,06/01/20
3.275,3.2575,3.295,3.2325,,05/29/20
3.2025,3.275,3.3075,3.195,,05/28/20
3.2,3.205,3.2175,3.1925,,05/27/20
3.1675,3.19,3.23,3.165,,05/26/20
3.1775,3.18,3.19,3.16,,05/22/20
3.19,3.1775,3.2025,3.1625,,05/21/20
3.2125,3.195,3.215,3.1725,,05/20/20
3.2075,3.2125,3.255,3.205,,05/19/20
3.2,3.2075,3.22,3.18,,05/18/20
0,3.1925,3.205,0,,05/15/20
0,3.2025,0,0,,05/14/20
3.235,3.2025,3.235,3.2,,05/13/20
3.1875,3.2375,3.245,3.1275,,05/12/20
3.2,3.185,3.2225,3.18,,05/11/20
3.1775,3.19,3.2175,3.175,,05/08/20
3.135,3.16,3.18,3.1325,,05/07/20
3.15,3.1175,3.15,3.11,,05/06/20
3.105,3.13,3.1475,3.105,,05/05/20
3.095,3.1075,3.1,3.055,,05/04/20
3.11,3.115,3.115,3.08,,05/01/20
3.0525,3.115,3.13,3.035,,04/30/20
3.0275,3.045,3.0875,3.0025,,04/29/20
3.05,3.0275,3.085,3.0125,,04/28/20
3.15,3.055,3.1575,3.0425,,04/27/20
3.1925,3.1575,3.2075,3.12,,04/24/20
3.17,3.1925,3.235,3.15,,04/23/20
3.1,3.175,3.2025,3.0825,,04/22/20
3.1425,3.0925,3.1625,3.01,,04/21/20
3.225,3.1425,3.2325,3.135,,04/20/20
3.1975,3.2225,3.255,3.195,,04/17/20
3.1875,3.1975,3.23,3.1775,,04/16/20
3.26,3.1925,3.2675,3.175,,04/15/20
3.3125,3.26,3.32,3.2575,,04/14/20
3.3225,3.315,3.34,3.265,,04/13/20
3.3075,3.3175,3.335,3.28,,04/09/20
3.32,3.3,3.34,3.2825,,04/08/20
3.28,3.315,3.355,3.28,,04/07/20
3.2975,3.2775,3.3175,3.255,,04/06/20
3.345,3.3075,3.385,3.28,,04/03/20
3.35,3.335,3.4325,3.33,,04/02/20
3.4125,3.3475,3.4275,3.335,,04/01/20
3.4175,3.4075,3.4475,3.335,,03/31/20
3.43,3.4125,3.4675,3.4,,03/30/20
3.485,3.46,3.5,3.425,,03/27/20
3.4825,3.4875,3.4925,3.4375,,03/26/20
3.475,3.485,3.5275,3.4575,,03/25/20
3.435,3.4725,3.505,3.38,,03/24/20
3.4025,3.435,3.455,3.3825,,03/23/20
3.465,3.4375,3.5675,3.4225,,03/20/20
3.365,3.455,3.5475,3.365,,03/19/20
3.44,3.3525,3.4525,3.32,,03/18/20
3.5525,3.44,3.5675,3.4275,,03/17/20
3.625,3.5475,3.6775,3.54,,03/16/20
3.7,3.7075,3.755,3.7,,03/13/20
3.775,3.6975,3.775,3.67,,03/12/20
3.8025,3.7925,3.805,3.77,,03/11/20
3.79,3.8,3.815,3.775,,03/10/20
3.72,3.7425,3.775,3.685,,03/09/20
3.8375,3.7725,3.855,3.77,,03/06/20
3.875,3.845,3.875,3.82,,03/05/20
3.82,3.87,3.885,3.8,,03/04/20
3.7575,3.8175,3.8375,3.7575,,03/03/20
3.665,3.7475,3.7575,3.66,,03/02/20
3.645,3.665,3.6725,3.6275,,02/28/20
3.6975,3.645,3.7,3.6175,,02/27/20
3.72,3.705,3.74,3.6825,,02/26/20
3.73,3.725,3.7475,3.7125,,02/25/20
3.7625,3.7225,3.7625,3.7,,02/24/20
3.7825,3.77,3.805,3.7625,,02/21/20
3.8075,3.785,3.8125,3.78,,02/20/20
3.8225,3.805,3.8275,3.785,,02/19/20
3.785,3.83,3.8325,3.78,,02/18/20
3.795,3.7775,3.815,3.7625,,02/14/20
3.8225,3.795,3.8275,3.79,,02/13/20
3.7975,3.83,3.8375,3.7825,,02/12/20
3.81,3.7975,3.82,3.78,,02/11/20
3.8325,3.8175,3.835,3.79,,02/10/20
3.8025,3.835,3.85,3.8,,02/07/20
3.8025,3.7925,3.8175,3.76,,02/06/20
3.815,3.8075,3.8325,3.795,,02/05/20
3.7825,3.8225,3.835,3.7825,,02/04/20
