,ittr,force_x,force_y,force_z,velocity_x,velocity_y,velocity_z,curr_pos_x,curr_pos_y,curr_pos_z
0,0,-16,4,15,0.0,0.0,0.0,0.0,0.0,0.1
1,0,-16,4,15,-2.6666666666666665,0.6666666666666666,2.3365,-0.04444444444444444,0.01111111111111111,0.13894166666666669
2,0,-16,4,15,-2.658475375485709,0.6646188438714272,2.165822893058385,-0.08875236736920625,0.022188091842301562,0.17503871488430645
3,0,-16,4,15,-2.650512622310704,0.662628155577676,1.995835748856401,-0.1329275777410513,0.033231894435262824,0.20830264403191312
4,0,-16,4,15,-2.6427670504245313,0.6606917626061328,1.8265033339734704,-0.1769736952481268,0.0442434238120317,0.2387443662648043
5,0,-16,4,15,-2.6352267727307632,0.6588066931826908,1.6577919997605133,-0.2208941414603062,0.05522353536507655,0.2663742329274795
6,0,-16,4,15,-2.627879319887276,0.656969829971819,1.4896697984878962,-0.2646921301250941,0.06617303253127353,0.2912020629022778
7,0,-16,4,15,-2.620711595406821,0.6551778988517053,1.322106620014817,-0.3083706567152078,0.07709266417880195,0.3132371732358581
8,0,-16,4,15,-2.6137098414808797,0.6534274603702199,1.1550743483854526,-0.3519324874065558,0.08798312185163895,0.33248841237561566
9,0,-16,4,15,-2.6068596198856433,0.6517149049714108,0.9885470363556941,-0.3953801477379832,0.0988450369344958,0.34896419631487724
10,0,-16,4,15,-2.600145812697337,0.6500364531743342,0.8225010940471645,-0.4387159112829388,0.1096789778207347,0.36267254788233
11,0,-16,4,15,-2.593552647504035,0.6483881618760088,0.6569154857869498,-0.48194178874133936,0.12048544718533484,0.3736211393121125
12,0,-16,4,15,-2.5870637511724057,0.6467659377931014,0.4917719269064251,-0.5250595179275461,0.13126487948188653,0.38181733809388624
13,0,-16,4,15,-2.58066223487234,0.645165558718085,0.3270550701495788,-0.5680705551754185,0.14201763879385462,0.38726825592971253
14,0,-16,4,15,-2.5743308109478096,0.6435827027369524,0.16275266979365366,-0.6109760686912153,0.15274401717280384,0.3899808004262734
15,0,-16,4,15,-2.568051939482327,0.6420129848705818,-0.001144288938282667,-0.6537769343492541,0.16344423358731353,0.3899617289439687
16,0,-16,4,15,-2.561807999370654,0.6404519998426635,-0.1646415067236821,-0.696473734338765,0.17411843358469126,0.38721770383190734
17,0,-16,4,15,-2.5555814758654374,0.6388953689663593,-0.3277413423820136,-0.7390667589365223,0.18476668973413057,0.38175534812554046
18,0,-16,4,15,-2.5493551544663684,0.6373387886165921,-0.49044284585482245,-0.7815560115109618,0.19538900287774044,0.37358130069462675
19,0,-16,4,15,-2.5431123101131488,0.6357780775282872,-0.6527418525975834,-0.8239412166795143,0.20598530416987856,0.36270226981800036
20,0,-16,4,15,-2.5368368811448585,0.6342092202862146,-0.8146311352437658,-0.8662218313652619,0.21655545784131547,0.34912508423060423
21,0,-16,4,15,-2.530513619296081,0.6326284048240203,-0.9761006042243695,-0.9083970583535299,0.22709926458838248,0.3328567408268647
22,0,-16,4,15,-2.524128209731373,0.6310320524328432,-1.137137546097828,-0.9504658618490528,0.2376164654622632,0.3139044483919009
23,0,-16,4,15,-2.5176673582336924,0.6294168395584231,-1.2977268869682916,-0.992426984486281,0.24810674612157024,0.2922756669424294
24,0,-16,4,15,-2.511118845620489,0.6277797114051222,-1.4578514685040482,-1.0342789652466224,0.2585697413116556,0.26797814246736196
25,0,-16,4,15,-2.5044715518582112,0.6261178879645528,-1.6174923254014366,-1.0760201577775925,0.26900503944439813,0.24101993704400468
26,0,-16,4,15,-2.4977154539739135,0.6244288634934784,-1.7766289552248402,-1.1176487486771578,0.27941218716928945,0.211409454456924
27,0,-16,4,15,-2.4908416027027167,0.6227104006756792,-1.9352395739372772,-1.1591627753888698,0.28979069384721745,0.17915546155796938
28,0,-16,4,15,-2.483842082978663,0.6209605207446658,-2.0933013527537843,-1.2005601434385142,0.30014003585962856,0.14426710567873963
29,0,-16,4,15,-2.476709963057254,0.6191774907643135,-2.25079063396381,-1.2418386428228019,0.31045966070570047,0.10675392844600945
30,0,-16,4,15,-2.4694392364426094,0.6173598091106524,-2.4076831249658035,-1.2829959634301786,0.32074899085754466,0.06662587636324606
31,0,-16,4,15,-2.4620247600443586,0.6155061900110896,-2.563954070919411,-1.324029709430918,0.3310074273577295,0.023893308514589207
32,1,2,-13,15,0.0,0.0,0.0,0.0,0.0,0.1
33,1,2,-13,15,0.3333333333333333,-2.1666666666666665,2.3365,0.005555555555555555,-0.03611111111111111,0.13894166666666669
34,1,2,-13,15,0.33239913985342173,-2.160594409047241,2.16645177080256,0.01109554121977925,-0.07212101792856512,0.1750491961800427
35,1,2,-13,15,0.3314955262905009,-2.1547209208882556,1.9970623596435106,0.016620466657954264,-0.10803303327670272,0.20833356884076787
36,1,2,-13,15,0.33062114871929815,-2.1490374666754377,1.828294757528014,0.022130819136609234,-0.14385032438796003,0.23880514813290143
37,1,2,-13,15,0.3297745749163761,-2.143534736956444,1.660113307319101,0.02762706205188217,-0.1795759033372341,0.26647370325488645
38,1,2,-13,15,0.3289542710606505,-2.138202761894228,1.4924838278185042,0.03310963323622634,-0.21521261603547123,0.2913484337185282
39,1,2,-13,15,0.32815858836456246,-2.133030824369656,1.3253737711618223,0.03857894304230239,-0.2507631297749655,0.31343799657122523
40,1,2,-13,15,0.3273857503757611,-2.128007377442447,1.1587524169263,0.04403537221523174,-0.28622991939900627,0.3327505368533302
41,1,2,-13,15,0.32663384200034273,-2.123119973002227,0.9925911048614859,0.049479269581904115,-0.32161525228237675,0.349293721934355
42,1,2,-13,15,0.3259008016294242,-2.118355210591257,0.8268635054577557,0.054910949609061184,-0.3569211724588977,0.36307478035865093
43,1,2,-13,15,0.3251844180369751,-2.113698717240338,0.6615459234035133,0.06033068990967744,-0.3921494844129033,0.3741005457487095
44,1,2,-13,15,0.3244823338571196,-2.1091351700712773,0.4966176233334383,0.0657387288072961,-0.4273017372474246,0.38237750613760013
45,1,2,-13,15,0.32379205731596217,-2.1046483725537537,0.3320611605940419,0.07113526309589548,-0.4623792101233205,0.3879118588141675
46,1,2,-13,15,0.32311098336841676,-2.1002213918947086,0.16786269316606664,0.07652044615203575,-0.4973828999882323,0.39070957036693527
47,1,2,-13,15,0.3224364244276967,-2.0958367587800284,0.004012246148425602,0.08189438655916403,-0.5323135126345662,0.3907764411360757
48,1,2,-13,15,0.32176564956522935,-2.0914767221739905,-0.15949610065626055,0.08725714738525119,-0.5671714580041327,0.38811817279180466
49,1,2,-13,15,0.3210959296600414,-2.087123542790269,-0.3226641270178262,0.09260874621291854,-0.6019568503839705,0.38274043734150753
50,1,2,-13,15,0.320424584861734,-2.0827598016012705,-0.4854895034450417,0.0979491559606141,-0.6366695137439917,0.3746489456174235
51,1,2,-13,15,0.31974903024928714,-2.078368696620366,-0.647965940682252,0.10327830646476888,-0.6713089920209978,0.3638495132727193
52,1,2,-13,15,0.3190668158851342,-2.0739343032533717,-0.810083444942169,0.10859608672952112,-0.7058745637418873,0.35034812252368314
53,1,2,-13,15,0.31837565847897314,-2.069441780113325,-0.9718286552094073,0.11390234770417067,-0.7403652600771093,0.334150978270193
54,1,2,-13,15,0.31767346326943807,-2.064877511251347,-1.1331852330978138,0.11919690542532797,-0.7747798852646318,0.31526455771856277
55,1,2,-13,15,0.3169583361164652,-2.060229184757023,-1.2941342755164156,0.12447954436060239,-0.8091170383439156,0.2936956531266225
56,1,2,-13,15,0.31622858687172706,-2.0554858146662256,-1.4546547245706383,0.1297500208084645,-0.8433751352550193,0.26945140771711185
57,1,2,-13,15,0.31548272572372327,-2.050637717204201,-1.6147237556833836,0.13500806623719322,-0.8775524305417559,0.24253934512238878
58,1,2,-13,15,0.31471945441821203,-2.045676453718378,-1.774317131933341,0.14025339047749674,-0.9116470381037288,0.21296739292349975
59,1,2,-13,15,0.3139376541456313,-2.0405947519466032,-1.9334095187466875,0.14548568471325726,-0.9456569506361722,0.1807439009443883
60,1,2,-13,15,0.3131363716004356,-2.035386415402831,-2.0919747577212764,0.1507046242399312,-0.9795800575595527,0.14587765498236704
61,1,2,-13,15,0.3123148043669819,-2.030046228385382,-2.2499861014359275,0.1559098709793809,-1.0134141613659757,0.10837788662510159
62,1,2,-13,15,0.31147228644845826,-2.0245698619149786,-2.4074164128384523,0.16110107575352187,-1.047156992397892,0.06825427974446072
63,1,2,-13,15,0.3106082744686244,-2.018953784046058,-2.5642383335625762,0.16627788032799895,-1.080806222131993,0.025516974185084446
64,2,-18,-6,11,0.0,0.0,0.0,0.0,0.0,0.1
65,2,-18,-6,11,-3.0,-1.0,1.6698333333333333,-0.05,-0.016666666666666666,0.12783055555555556
66,2,-18,-6,11,-2.9908478415482977,-0.9969492805160992,1.5012391402484662,-0.09984746402580497,-0.03328248800860165,0.15285120789303
67,2,-18,-6,11,-2.981891610962737,-0.9939638703209124,1.3332436110151322,-0.1495456575418506,-0.04984855251395019,0.1750719347432822
68,2,-18,-6,11,-2.9731163786496695,-0.9910387928832233,1.1658200873117361,-0.19909759718601175,-0.06636586572867058,0.19450226953181113
69,2,-18,-6,11,-2.9645067141233525,-0.9881689047077843,0.9989440607552666,-0.24850604242140095,-0.08283534747380031,0.21115133721106558
70,2,-18,-6,11,-2.9560467030684565,-0.9853489010228189,0.8325933072869239,-0.2977734874725419,-0.09925782915751395,0.2250278923325143
71,2,-18,-6,11,-2.9477199822369764,-0.9825733274123255,0.6667480222720624,-0.34690215384315815,-0.11563405128105271,0.236140359370382
72,2,-18,-6,11,-2.939509793752429,-0.9798365979174763,0.5013909507158969,-0.39589398373903195,-0.13196466124634398,0.24449687521564695
73,2,-18,-6,11,-2.931399059479895,-0.9771330198266317,0.33650750617811953,-0.4447506347303635,-0.14825021157678786,0.2501053336519489
74,2,-18,-6,11,-2.9233704749277973,-0.9744568249759324,0.17208587152144267,-0.49347347597916014,-0.16449115865972008,0.2529734315106396
75,2,-18,-6,11,-2.9154066207664107,-0.9718022069221369,0.008117074700859817,-0.542063586325267,-0.18068786210842236,0.2531087160889873
76,2,-18,-6,11,-2.9074900886262274,-0.9691633628754092,-0.15540496650680427,-0.5905217544690374,-0.1968405848230125,0.25051863331387386
77,2,-18,-6,11,-2.8996036165627794,-0.9665345388542598,-0.3184834356023065,-0.6388484814117504,-0.21294949380391684,0.24521057605383542
78,2,-18,-6,11,-2.8917302286351356,-0.9639100762117119,-0.48111864717995034,-0.687043985222336,-0.2290146617407787,0.2371919319341696
79,2,-18,-6,11,-2.8838533725980673,-0.9612844575326891,-0.6433081161065264,-0.7351082080989705,-0.24503606936632352,0.22647012999906083
80,2,-18,-6,11,-2.8759570498329605,-0.9586523499443201,-0.8050466643730725,-0.7830408255961865,-0.2610136085320622,0.21305268559284296
81,2,-18,-6,11,-2.8680259323239503,-0.9560086441079835,-0.9663265617829624,-0.8308412578015857,-0.2769470859338619,0.19694724289646026
82,2,-18,-6,11,-2.860045462614619,-0.9533484875382064,-1.1271376949325214,-0.878508682178496,-0.292836227392832,0.1781616146475849
83,2,-18,-6,11,-2.8520019340824216,-0.9506673113608074,-1.287467757836271,-0.9260420477465363,-0.3086806825821788,0.15670381868364705
84,2,-18,-6,11,-2.843882550343626,-0.9479608501145421,-1.447302457104081,-0.9734400902522634,-0.3244800300840878,0.1325821110652457
85,2,-18,-6,11,-2.8356754639691535,-0.9452251546563847,-1.606625724744299,-1.0207013479850826,-0.34023378266169424,0.10580501565284071
86,2,-18,-6,11,-2.8273697958175057,-0.9424565986058355,-1.7654199323208781,-1.0678241779153743,-0.35594139263845814,0.07638135011415942
87,2,-18,-6,11,-2.818955637102909,-0.9396518790343033,-1.9236661011699496,-1.1148067718670895,-0.37160225728902985,0.04432024842799359
88,3,17,13,16,0.0,0.0,0.0,0.0,0.0,0.1
89,3,17,13,16,2.8333333333333335,2.1666666666666665,2.5031666666666665,0.04722222222222222,0.03611111111111111,0.14171944444444445
90,3,17,13,16,2.8232135551295974,2.1589280127461623,2.330726140264201,0.09427578147438218,0.07209324465688048,0.18056488011551447
91,3,17,13,16,2.8133320224285887,2.151371546563038,2.159068363276247,0.14116464851485866,0.10794943709959778,0.21654935283678525
92,3,17,13,16,2.8036769138458317,2.1439882282350475,1.9881586301488243,0.18789259707895586,0.14368257423684858,0.24968533000593232
93,3,17,13,16,2.7942361230999353,2.136768800017597,1.8179639252403559,0.23446319913062147,0.1792953875704752,0.27998472875993824
94,3,17,13,16,2.7849972381507295,2.1297037703505572,1.6484529945934252,0.280879819766467,0.21479045040965114,0.3074589453364953
95,3,17,13,16,2.7759475259359006,2.1227834021862764,1.4795964272703461,0.32714561186539864,0.2501701737794224,0.3321188857910011
96,3,17,13,16,2.7670739240759734,2.1159977066463322,1.3113667450676751,0.3732635105999982,0.28543680222352796,0.35397499820879563
97,3,17,13,16,2.758363040963161,2.1093364430894757,1.1437384988596782,0.4192362279493842,0.32059240960835256,0.3730373065231236
98,3,17,13,16,2.749801165607821,2.1027891266412744,0.9766883691918585,0.4650662473761812,0.3556388950523738,0.38931544600965456
99,3,17,13,16,2.741374288461435,2.0963450441175677,0.8101952680904323,0.5107558188505384,0.3905779791209999,0.4028187004778284
100,3,17,13,16,2.7330681341469796,2.0899932790535725,0.6442404384271039,0.5563069544196547,0.42541120043855946,0.41355604111828015
101,3,17,13,16,2.7248682065973187,2.083722746221479,0.4788075466511318,0.6017214245296101,0.4601399128755841,0.42153616689579904
102,3,17,13,16,2.7167598465378946,2.077522235587802,0.3138827643522972,0.6470007553052417,0.4947652834687141,0.42676754630167063
103,3,17,13,16,2.708728300580985,2.071380465150165,0.14945483402743248,0.6921462269815915,0.5292882912212169,0.4292584602021278
104,3,17,13,16,2.700758800477225,2.0652861415414074,-0.014484885347535309,0.7371588736562119,0.5637097269135737,0.42901704544633557
105,3,17,13,16,2.6928366503668304,2.059228026751106,-0.1779423967565383,0.7820394844956591,0.5980301940260921,0.4260513388337266
106,3,17,13,16,2.6849473192687867,2.053195008852602,-0.34092107048737874,0.8267886064834722,0.6322501108403021,0.42036932099227026
