,ittr,force_x,force_y,force_z,frame_0,velocity_x_0,velocity_y_0,velocity_z_0,curr_pos_x_0,curr_pos_y_0,curr_pos_z_0,frame_1,velocity_x_1,velocity_y_1,velocity_z_1,curr_pos_x_1,curr_pos_y_1,curr_pos_z_1,frame_2,velocity_x_2,velocity_y_2,velocity_z_2,curr_pos_x_2,curr_pos_y_2,curr_pos_z_2,frame_3,velocity_x_3,velocity_y_3,velocity_z_3,curr_pos_x_3,curr_pos_y_3,curr_pos_z_3,frame_4,velocity_x_4,velocity_y_4,velocity_z_4,curr_pos_x_4,curr_pos_y_4,curr_pos_z_4,frame_5,velocity_x_5,velocity_y_5,velocity_z_5,curr_pos_x_5,curr_pos_y_5,curr_pos_z_5,frame_6,velocity_x_6,velocity_y_6,velocity_z_6,curr_pos_x_6,curr_pos_y_6,curr_pos_z_6,frame_7,velocity_x_7,velocity_y_7,velocity_z_7,curr_pos_x_7,curr_pos_y_7,curr_pos_z_7,frame_8,velocity_x_8,velocity_y_8,velocity_z_8,curr_pos_x_8,curr_pos_y_8,curr_pos_z_8,frame_9,velocity_x_9,velocity_y_9,velocity_z_9,curr_pos_x_9,curr_pos_y_9,curr_pos_z_9,frame_10,velocity_x_10,velocity_y_10,velocity_z_10,curr_pos_x_10,curr_pos_y_10,curr_pos_z_10,frame_11,velocity_x_11,velocity_y_11,velocity_z_11,curr_pos_x_11,curr_pos_y_11,curr_pos_z_11,frame_12,velocity_x_12,velocity_y_12,velocity_z_12,curr_pos_x_12,curr_pos_y_12,curr_pos_z_12,frame_13,velocity_x_13,velocity_y_13,velocity_z_13,curr_pos_x_13,curr_pos_y_13,curr_pos_z_13,frame_14,velocity_x_14,velocity_y_14,velocity_z_14,curr_pos_x_14,curr_pos_y_14,curr_pos_z_14,frame_15,velocity_x_15,velocity_y_15,velocity_z_15,curr_pos_x_15,curr_pos_y_15,curr_pos_z_15,frame_16,velocity_x_16,velocity_y_16,velocity_z_16,curr_pos_x_16,curr_pos_y_16,curr_pos_z_16,frame_17,velocity_x_17,velocity_y_17,velocity_z_17,curr_pos_x_17,curr_pos_y_17,curr_pos_z_17,frame_18,velocity_x_18,velocity_y_18,velocity_z_18,curr_pos_x_18,curr_pos_y_18,curr_pos_z_18,frame_19,velocity_x_19,velocity_y_19,velocity_z_19,curr_pos_x_19,curr_pos_y_19,curr_pos_z_19,frame_20,velocity_x_20,velocity_y_20,velocity_z_20,curr_pos_x_20,curr_pos_y_20,curr_pos_z_20
0,0.0,-16.0,4.0,15.0,1.0,-2.6666666666666665,0.6666666666666666,2.3365,-0.0444444444444444,0.0111111111111111,0.1389416666666666,3.0,-2.650512622310704,0.662628155577676,1.995835748856401,-0.1329275777410513,0.0332318944352628,0.2083026440319131,5.0,-2.6352267727307632,0.6588066931826908,1.6577919997605133,-0.2208941414603062,0.0552235353650765,0.2663742329274795,7.0,-2.620711595406821,0.6551778988517053,1.322106620014817,-0.3083706567152078,0.0770926641788019,0.3132371732358581,9.0,-2.6068596198856437,0.6517149049714108,0.988547036355694,-0.3953801477379832,0.0988450369344958,0.3489641963148772,11.0,-2.593552647504035,0.6483881618760088,0.6569154857869498,-0.4819417887413393,0.1204854471853348,0.3736211393121125,13.0,-2.58066223487234,0.645165558718085,0.3270550701495788,-0.5680705551754185,0.1420176387938546,0.3872682559297125,15.0,-2.568051939482327,0.6420129848705818,-0.0011442889382826,-0.6537769343492541,0.1634442335873135,0.3899617289439687,17.0,-2.5555814758654374,0.6388953689663593,-0.3277413423820136,-0.7390667589365223,0.1847666897341305,0.3817553481255404,19.0,-2.5431123101131488,0.6357780775282872,-0.6527418525975834,-0.8239412166795143,0.2059853041698785,0.3627022698180003,21.0,-2.530513619296081,0.6326284048240203,-0.9761006042243696,-0.90839705835353,0.2270992645883824,0.3328567408268647,22.0,-2.524128209731373,0.6310320524328432,-1.137137546097828,-0.9504658618490528,0.2376164654622632,0.3139044483919009,23.0,-2.5176673582336924,0.6294168395584231,-1.2977268869682916,-0.992426984486281,0.2481067461215702,0.2922756669424294,24.0,-2.511118845620489,0.6277797114051222,-1.4578514685040482,-1.0342789652466224,0.2585697413116556,0.2679781424673619,25.0,-2.5044715518582112,0.6261178879645528,-1.6174923254014366,-1.0760201577775923,0.2690050394443981,0.2410199370440046,26.0,-2.497715453973913,0.6244288634934784,-1.7766289552248402,-1.1176487486771578,0.2794121871692894,0.211409454456924,27.0,-2.4908416027027167,0.6227104006756792,-1.9352395739372767,-1.1591627753888698,0.2897906938472174,0.1791554615579693,28.0,-2.483842082978663,0.6209605207446658,-2.0933013527537843,-1.2005601434385142,0.3001400358596285,0.1442671056787396,29.0,-2.476709963057254,0.6191774907643135,-2.25079063396381,-1.241838642822802,0.3104596607057004,0.1067539284460094,30.0,-2.469439236442609,0.6173598091106524,-2.4076831249658035,-1.2829959634301786,0.3207489908575446,0.066625876363246,31.0,-2.4620247600443586,0.6155061900110896,-2.563954070919411,-1.324029709430918,0.3310074273577295,0.0238933085145892
1,1.0,2.0,-13.0,15.0,1.0,0.3333333333333333,-2.1666666666666665,2.3365,0.0055555555555555,-0.0361111111111111,0.1389416666666666,3.0,0.3314955262905009,-2.154720920888256,1.9970623596435104,0.0166204666579542,-0.1080330332767027,0.2083335688407678,5.0,0.3297745749163761,-2.143534736956444,1.660113307319101,0.0276270620518821,-0.1795759033372341,0.2664737032548864,7.0,0.3281585883645624,-2.133030824369656,1.3253737711618223,0.0385789430423023,-0.2507631297749655,0.3134379965712252,9.0,0.3266338420003427,-2.123119973002227,0.992591104861486,0.0494792695819041,-0.3216152522823767,0.349293721934355,11.0,0.3251844180369751,-2.113698717240338,0.6615459234035133,0.0603306899096774,-0.3921494844129033,0.3741005457487095,13.0,0.3237920573159621,-2.1046483725537537,0.3320611605940419,0.0711352630958954,-0.4623792101233205,0.3879118588141675,15.0,0.3224364244276967,-2.0958367587800284,0.0040122461484256,0.081894386559164,-0.5323135126345662,0.3907764411360757,17.0,0.3210959296600414,-2.087123542790269,-0.3226641270178262,0.0926087462129185,-0.6019568503839705,0.3827404373415075,19.0,0.3197490302492871,-2.078368696620366,-0.647965940682252,0.1032783064647688,-0.6713089920209978,0.3638495132727193,21.0,0.3183756584789731,-2.069441780113325,-0.9718286552094072,0.1139023477041706,-0.7403652600771093,0.334150978270193,22.0,0.317673463269438,-2.064877511251347,-1.1331852330978138,0.1191969054253279,-0.7747798852646318,0.3152645577185627,23.0,0.3169583361164652,-2.060229184757023,-1.2941342755164156,0.1244795443606023,-0.8091170383439156,0.2936956531266225,24.0,0.316228586871727,-2.0554858146662256,-1.4546547245706385,0.1297500208084645,-0.8433751352550193,0.2694514077171118,25.0,0.3154827257237232,-2.050637717204201,-1.6147237556833836,0.1350080662371932,-0.8775524305417559,0.2425393451223887,26.0,0.314719454418212,-2.045676453718378,-1.774317131933341,0.1402533904774967,-0.9116470381037288,0.2129673929234997,27.0,0.3139376541456313,-2.0405947519466032,-1.9334095187466875,0.1454856847132572,-0.9456569506361722,0.1807439009443883,28.0,0.3131363716004356,-2.035386415402831,-2.0919747577212764,0.1507046242399312,-0.9795800575595528,0.145877654982367,29.0,0.3123148043669819,-2.030046228385382,-2.2499861014359275,0.1559098709793809,-1.0134141613659755,0.1083778866251015,30.0,0.3114722864484582,-2.0245698619149786,-2.4074164128384523,0.1611010757535218,-1.047156992397892,0.0682542797444607,31.0,0.3106082744686244,-2.018953784046058,-2.564238333562576,0.1662778803279989,-1.080806222131993,0.0255169741850844
2,2.0,-18.0,-6.0,11.0,1.0,-3.0,-1.0,1.6698333333333333,-0.05,-0.0166666666666666,0.1278305555555555,3.0,-2.981891610962737,-0.9939638703209124,1.3332436110151322,-0.1495456575418506,-0.0498485525139501,0.1750719347432822,5.0,-2.9645067141233525,-0.9881689047077844,0.9989440607552666,-0.2485060424214009,-0.0828353474738003,0.2111513372110655,6.0,-2.9560467030684565,-0.9853489010228188,0.8325933072869239,-0.2977734874725419,-0.0992578291575139,0.2250278923325143,7.0,-2.9477199822369764,-0.9825733274123256,0.6667480222720624,-0.3469021538431581,-0.1156340512810527,0.236140359370382,8.0,-2.939509793752429,-0.9798365979174763,0.5013909507158969,-0.3958939837390319,-0.1319646612463439,0.2444968752156469,9.0,-2.931399059479895,-0.9771330198266316,0.3365075061781195,-0.4447506347303635,-0.1482502115767878,0.2501053336519489,10.0,-2.9233704749277973,-0.9744568249759324,0.1720858715214426,-0.4934734759791601,-0.16449115865972,0.2529734315106396,11.0,-2.9154066207664107,-0.9718022069221368,0.0081170747008598,-0.542063586325267,-0.1806878621084223,0.2531087160889873,12.0,-2.907490088626228,-0.9691633628754092,-0.1554049665068042,-0.5905217544690374,-0.1968405848230125,0.2505186333138738,13.0,-2.8996036165627794,-0.9665345388542598,-0.3184834356023065,-0.6388484814117504,-0.2129494938039168,0.2452105760538354,14.0,-2.891730228635136,-0.963910076211712,-0.4811186471799503,-0.687043985222336,-0.2290146617407787,0.2371919319341696,15.0,-2.8838533725980677,-0.9612844575326892,-0.6433081161065264,-0.7351082080989705,-0.2450360693663235,0.2264701299990608,16.0,-2.8759570498329605,-0.95865234994432,-0.8050466643730725,-0.7830408255961865,-0.2610136085320622,0.2130526855928429,17.0,-2.8680259323239503,-0.9560086441079836,-0.9663265617829624,-0.8308412578015857,-0.2769470859338619,0.1969472428964602,18.0,-2.860045462614619,-0.9533484875382064,-1.1271376949325214,-0.878508682178496,-0.292836227392832,0.1781616146475849,19.0,-2.8520019340824216,-0.9506673113608074,-1.287467757836271,-0.9260420477465364,-0.3086806825821788,0.156703818683647,20.0,-2.843882550343626,-0.947960850114542,-1.447302457104081,-0.9734400902522634,-0.3244800300840878,0.1325821110652457,21.0,-2.835675463969153,-0.9452251546563848,-1.606625724744299,-1.0207013479850826,-0.3402337826616942,0.1058050156528407,22.0,-2.8273697958175057,-0.9424565986058356,-1.765419932320878,-1.0678241779153743,-0.3559413926384581,0.0763813501141594,23.0,-2.818955637102909,-0.9396518790343033,-1.9236661011699496,-1.1148067718670895,-0.3716022572890298,0.0443202484279935
3,3.0,17.0,13.0,16.0,1.0,2.833333333333333,2.1666666666666665,2.5031666666666665,0.0472222222222222,0.0361111111111111,0.1417194444444444,3.0,2.8133320224285887,2.151371546563038,2.159068363276247,0.1411646485148586,0.1079494370995977,0.2165493528367852,5.0,2.7942361230999357,2.136768800017597,1.817963925240356,0.2344631991306214,0.1792953875704752,0.2799847287599382,7.0,2.775947525935901,2.1227834021862764,1.479596427270346,0.3271456118653986,0.2501701737794224,0.3321188857910011,9.0,2.758363040963161,2.109336443089476,1.1437384988596782,0.4192362279493842,0.3205924096083525,0.3730373065231236,11.0,2.741374288461435,2.096345044117568,0.8101952680904323,0.5107558188505384,0.3905779791209999,0.4028187004778284,13.0,2.7248682065973187,2.083722746221479,0.4788075466511318,0.6017214245296101,0.4601399128755841,0.421536166895799,15.0,2.708728300580985,2.071380465150165,0.1494548340274324,0.6921462269815915,0.5292882912212169,0.4292584602021278,17.0,2.6928366503668304,2.059228026751106,-0.1779423967565383,0.7820394844956591,0.5980301940260921,0.4260513388337266,19.0,2.6770765356187134,2.047176174296664,-0.5034216780716317,0.8714065487437841,0.6663697137452466,0.4119789596910764,21.0,2.6613353760834064,2.0351388170049587,-0.826979192028211,0.960248978019751,0.7343080420151036,0.3871052655717394,23.0,2.6455075901567136,2.0230352160021936,-1.1485721984031183,1.0485647473029065,0.8018436302904578,0.3514953064337968,25.0,2.629496991453779,2.0107918169940677,-1.4681230350155263,1.1363485427547708,0.8689724150477659,0.305216439660108,26.0,2.621396077491833,2.004597000434932,-1.627100064108594,1.1800384773796346,0.9023823650550148,0.2780981052582981,27.0,2.613218466228424,1.998343532998208,-1.7855242222985006,1.2235921184834415,0.9356880906049848,0.2483393682199897,28.0,2.6049553915743786,1.992024711203937,-1.9433783415058576,1.267008041676348,0.968888502458384,0.2159497291948921,29.0,2.5965988473873027,1.9856344127079384,-2.100644097712076,1.310284689132803,1.0019824093368497,0.1809389942330242,30.0,2.58814157700339,1.979167088296711,-2.257302180204257,1.3534203820828596,1.034968527475128,0.1433172912296199,31.0,2.579577055387769,1.9726177482377063,-2.413332452316445,1.3964133330059891,1.0678454899457563,0.1030950836910125,32.0,2.570899465459408,1.9659819441748416,-2.568714102318616,1.4392616574303123,1.1006118556820037,0.0602831819857022,33.0,2.562103670045232,1.9592557476816488,-2.723425783667865,1.4819633852643996,1.1332661181433643,0.0148927522579044
4,4.0,-13.0,6.0,16.0,1.0,-2.1666666666666665,1.0,2.5031666666666665,-0.0361111111111111,0.0166666666666666,0.1417194444444444,3.0,-2.1539885683055084,0.9941485699871578,2.161991712495456,-0.1080147006894443,0.0498529387797435,0.2166230837619825,5.0,-2.142082544874411,0.9886534822497284,1.823487581434839,-0.1795151341726653,0.0828531388489224,0.2802216125813153,7.0,-2.130874750934733,0.983480654277569,1.4873693092642606,-0.2506363188961049,0.1156783010289715,0.3325968858596657,9.0,-2.120281799075231,0.9785915995731834,1.153377277594252,-0.3213994665561609,0.1483382153336127,0.3738218840557631,11.0,-2.11020884711769,0.973942544823549,0.8212826394352101,-0.3918227262774503,0.1808412582819001,0.4039616896794762,13.0,-2.1005485650437072,0.9694839530970956,0.4908945670872173,-0.4619207742706268,0.21319420350952,0.4230746907300253,15.0,-2.0911818571735434,0.96516085715702,0.1620686889076271,-0.5317044110167758,0.2454020358538965,0.4312140577121287,17.0,-2.081981112396398,0.960914359567568,-0.1652848865698805,-0.6011802446003797,0.2774678052001752,0.4284294959411038,19.0,-2.072816036465434,0.956684324522508,-0.4911963399465111,-0.6703505479786852,0.309392560605547,0.4147692007430253,21.0,-2.063560951816393,0.9524127469921814,-0.8156358514686274,-0.7392133508605228,0.3411753927048566,0.3902818667773945,23.0,-2.05410162261053,0.9480469027433212,-1.1385188472518384,-0.8077627673073011,0.372813584911062,0.3550185676650157,25.0,-2.0443399042777277,0.9435414942820276,-1.4597153903521731,-0.8759894990182073,0.404302845700711,0.3090343525550166,26.0,-2.0393198919750875,0.9412245655269632,-1.6196309623406728,-0.9099781638844588,0.419989921792827,0.282040503182672,27.0,-2.034195620368097,0.9388595170929676,-1.779061258030533,-0.9438814242239272,0.4356375804110431,0.2523894822154965,28.0,-2.0289598031330365,0.9364429860614012,-1.9379821312721444,-0.977697420942811,0.4512449635120665,0.2200897800276274,29.0,-2.023606142887968,0.9339720659482929,-2.096368526815406,-1.0114241899909435,0.4668111646112047,0.185150304580704,30.0,-2.018129258147876,0.931444272991327,-2.2541947108732683,-1.0450596776267416,0.4823352358277268,0.1475803927328162,31.0,-2.0125246078084364,0.9288575112962012,-2.411434471049456,-1.0786017544235489,0.4978161943493301,0.1073898182153252,32.0,-2.0067884165568595,0.926210038410858,-2.5680612883500165,-1.11204822803283,0.5132530283228445,0.0645887967428249,33.0,-2.0009176034716813,0.923500432371545,-2.72404848446357,-1.145396854757358,0.5286447021957036,0.0191879886684321
5,5.0,10.0,-2.0,13.0,1.0,1.6666666666666667,-0.3333333333333333,2.0031666666666665,0.0277777777777777,-0.0055555555555555,0.1333861111111111,3.0,1.6587589719507183,-0.3317517943901437,1.6670437232311768,0.0831343702174558,-0.0166268740434911,0.1917505548117536,5.0,1.6514321817317426,-0.3302864363463484,1.333035448758503,0.1382420195114011,-0.0276484039022802,0.2389643604002819,7.0,1.6446201709809556,-0.328924034196191,1.0008687991792748,0.1931184645394874,-0.0386236929078974,0.2750911399953653,9.0,1.638240965615748,-0.3276481931231495,0.6702995114960165,0.2477788526823235,-0.0495557705364647,0.3001861041448696,11.0,1.6321930935500868,-0.3264386187100173,0.3411239098402556,0.3022351170376161,-0.0604470234075232,0.314297306394992,13.0,1.6263550327228682,-0.3252710065445735,0.0131949017437723,0.3564953027859582,-0.0712990605571916,0.317467389569636,14.0,1.623472464109587,-0.3246944928219173,-0.1503284850376232,0.3835531771877846,-0.0767106354375569,0.314961914819009,15.0,1.620590871590916,-0.3241181743181831,-0.3135616585607941,0.4105630250476332,-0.0821126050095266,0.3097358871763291,16.0,1.617693073960925,-0.3235386147921849,-0.4765009752649901,0.4375245762803153,-0.087504915256063,0.3017942042552459,17.0,1.6147627129151547,-0.3229525425830308,-0.6391378202458682,0.4644372881622345,-0.0928874576324469,0.2911419072511481,18.0,1.6117846339869877,-0.3223569267973974,-0.8014590694241871,0.491300365395351,-0.0982600730790702,0.2777842560940783,19.0,1.6087451433297693,-0.3217490286659538,-0.9634476842786222,0.5181127844508472,-0.1036225568901694,0.2617267946894346,20.0,1.6056321345754403,-0.3211264269150879,-1.1250833609655524,0.5448733200271045,-0.1089746640054209,0.2429754053400087,21.0,1.602435103638718,-0.3204870207277435,-1.2863431676896813,0.5715805717544165,-0.1143161143508832,0.2215363525451807,22.0,1.599145081322827,-0.3198290162645653,-1.4472021261161518,0.5982329897764636,-0.1196465979552927,0.1974163171099115,23.0,1.5957545149563872,-0.3191509029912773,-1.6076337148059094,0.62482889835907,-0.124965779671814,0.1706224218631464,24.0,1.592257125226179,-0.3184514250452357,-1.7676102896227746,0.6513665171128397,-0.1302733034225679,0.1411622503694335,25.0,1.5886477570174489,-0.3177295514034897,-1.9271034264825757,0.6778439797297972,-0.1355687959459594,0.1090438599280572,26.0,1.5849222361025288,-0.3169844472205056,-2.086084196786212,0.704259350331506,-0.1408518700663011,0.0742757899816203,27.0,1.5810772380840337,-0.3162154476168066,-2.244523387227011,0.7306106376329066,-0.1461221275265813,0.0368670668611702
6,6.0,19.0,10.0,11.0,1.0,3.1666666666666665,1.6666666666666667,1.6698333333333333,0.0527777777777777,0.0277777777777777,0.1278305555555555,3.0,3.1459726531762344,1.655775080619071,1.3324518377685943,0.1578143047586838,0.0830601603993073,0.1750518211123384,5.0,3.1260236371510763,1.6452755985005667,0.9975181837286876,0.2621799099471995,0.1379894262879997,0.2110886410613856,6.0,3.1162898364323253,1.6401525454906976,0.830912115336129,0.3141180738877382,0.165325302046178,0.2249371763169877,7.0,3.1066952868184043,1.6351027825360025,0.6648538720616435,0.3658963286680449,0.1925770150884447,0.2360180741846818,8.0,3.097223771476169,1.6301177744611417,0.4993269035088229,0.4175167248593144,0.219745644662797,0.2443401892431622,9.0,3.0878589027359093,1.6251888961767946,0.3343171220868588,0.4689810399049129,0.2468321262657436,0.2499121412779432,10.0,3.0785841951647592,1.6203074711393473,0.1698129656013934,0.5202907764909922,0.2738372507847327,0.2527423573712997,11.0,3.0693831494441186,1.615464815496905,0.0058054411156542,0.5714471623150609,0.3007616643763478,0.2528391147232273,12.0,3.0602393448782594,1.6106522867780315,-0.157711853505576,0.6224511513963652,0.3276058691559816,0.2502105838314676,13.0,3.05113653773831,1.6058613356517424,-0.320742733144599,0.6733034270253371,0.3543702247501774,0.244864871612391,14.0,3.0420587621910977,1.6010835590479464,-0.4832884557781576,0.7240044063951887,0.3810549507343098,0.2368100640160884,15.0,3.032990430336348,1.5963107528086045,-0.6453477800906804,0.7745542469007946,0.4076601299477865,0.2260542676812437,16.0,3.023916427911208,1.5915349620585304,-0.8069170495275271,0.8249528540326481,0.434185712648762,0.2126056501891182,17.0,3.014822202515841,1.5867485276399165,-0.9679903007404131,0.8751998907412454,0.4606315214427606,0.1964724785101114,18.0,3.0056938417311097,1.5819441272268997,-1.1285593933409963,0.9252947881034306,0.4869972568965423,0.1776631552877614,19.0,2.9965181391748383,1.57711481009202,-1.288614157114136,0.9752367570896778,0.5132825037314094,0.1561862526691925,20.0,2.9872826472976093,1.5722540248934784,-1.4481425523955385,1.0250248012113046,0.539486737479634,0.1320505434626002,21.0,2.977975716472099,1.567355640248473,-1.6071308391926329,1.0746577298191728,0.5656093314837752,0.1052650294760563,22.0,2.968586520612892,1.562413958217311,-1.7655637507885584,1.1241341718293878,0.5916495641207304,0.0758389669629137,23.0,2.9591050701272947,1.5574237211196285,-1.9234246679570397,1.173452589664843,0.6176066261393909,0.0437818891636297
7,7.0,-9.0,17.0,10.0,1.0,-1.5,2.833333333333333,1.5031666666666663,-0.025,0.0472222222222222,0.1250527777777778,2.0,-1.4954591968302644,2.824756260679389,1.335116277356906,-0.049924319947171,0.0943014932335453,0.1473047157337262,3.0,-1.4910088707289997,2.816350089154777,1.1676431145785842,-0.0747744677926544,0.1412406613861249,0.1667654343100359,4.0,-1.4866413421414293,2.808100312933811,1.0007228031484396,-0.0995518234950115,0.1880423332683551,0.1834441476958432,5.0,-1.482348702638617,2.7999919938729434,0.8343332412114817,-0.1242576352056551,0.2347088664995709,0.1973497017160346,6.0,-1.4781228323482407,2.792009794435566,0.6684547292931773,-0.1488930157447925,0.281242363073497,0.2084906138709209,7.0,-1.4739554265513437,2.7841380279303154,0.5030700942325077,-0.1734589395206482,0.3276446635390022,0.2168751154414627,8.0,-1.4698380317081845,2.776360726559904,0.3381648019323281,-0.197956240049118,0.3739173423150006,0.2225111954736682,9.0,-1.465762090626226,2.7686617267384275,0.1737270524803926,-0.2223856082262217,0.4200617044273077,0.2254066463483414,10.0,-1.4617189958523285,2.761024769943288,0.0097478512904723,-0.2467475914904272,0.4660787839263625,0.2255691105365159,11.0,-1.4577001497254465,2.753433616148066,-0.153778949424655,-0.2710425939858513,0.511969344195497,0.223006128046105,12.0,-1.453697028948097,2.7458721657908507,-0.316856643295595,-0.2952708778016529,0.5577338802920112,0.2177251839911784,13.0,-1.449701251108945,2.7383245854280083,-0.4794856992623773,-0.3194325653201353,0.603372623382478,0.2097337556701388,14.0,-1.4457046403832907,2.7307754318351054,-0.6416638285065895,-0.3435276426598568,0.6488855472463964,0.1990393585283623,15.0,-1.4416992896887606,2.723209769412104,-0.8033860873350026,-0.3675559641546695,0.6942723767365981,0.1856495904061122,16.0,-1.4376776168741647,2.7156132763178675,-0.9646450125074238,-0.3915172577692389,0.7395325980085626,0.1695721735309885,17.0,-1.4336324130238045,2.707972335711632,-1.1254307838980155,-0.4154111313196356,0.7846654702704232,0.1508149937993549,18.0,-1.4295568815917137,2.700274109673238,-1.2857314083169733,-0.4392370793461642,0.8296700387649771,0.129386136994072,19.0,-1.4254446677526666,2.692506594643927,-1.4455329178555854,-0.4629944904753753,0.8745451486757092,0.1052939216964789,20.0,-1.421289877987772,2.684658658421348,-1.6048195762171522,-0.4866826551085048,0.9192894596493985,0.0785469287595264,21.0,-1.4170870904504482,2.676720059739736,-1.7635740870533738,-0.510300773282679,0.9639014606450608,0.0491540273086368
8,8.0,-20.0,6.0,16.0,1.0,-3.333333333333333,1.0,2.5031666666666665,-0.0555555555555555,0.0166666666666666,0.1417194444444444,3.0,-3.3101178954361803,0.993035368630854,2.159297475209041,-0.1660839340017175,0.0498251802005152,0.2165551375991104,5.0,-3.2879728972465525,0.9863918691739658,1.8183940647466443,-0.275865460283081,0.0827596380849243,0.2800032363913987,7.0,-3.266782603690079,0.9800347811070238,1.4801978999537244,-0.3849329352330554,0.1154798805699166,0.3321560783775855,9.0,-3.246424801049821,0.9739274403149464,1.144479888867553,-0.4933151409621719,0.1479945422886515,0.373098113375269,11.0,-3.226770595867408,0.9680311787602224,0.8110434993409885,-0.6010366184947314,0.1803109855484194,0.4029069618624256,13.0,-3.207684987494988,0.9623054962484966,0.4797281661950908,-0.7081174575947663,0.2124352372784299,0.4216545852769637,15.0,-3.1890283885967183,0.9567085165790156,0.1504125419626569,-0.8145731291221149,0.2443719387366345,0.4294085670806336,17.0,-3.1706591290739663,0.95119773872219,-0.1769829917519535,-0.92041439278411,0.276124317835233,0.4262334849914284,19.0,-3.152436767564536,0.945731030269361,-0.5024951535799719,-1.0256473091498253,0.3076941927449477,0.4121923345734062,21.0,-3.1342258164902934,0.940267744947088,-0.8261183767490861,-1.1302733733952175,0.3390820120185653,0.3873479478683474,23.0,-3.11589935644434,0.934769806933302,-1.1478073379313434,-1.2342897715821743,0.3702869314746523,0.3517643435655935,25.0,-3.097342040361965,0.9292026121085898,-1.467481161759816,-1.337689743070716,0.4013069229212148,0.3055079501351787,26.0,-3.0879444590940603,0.9263833377282183,-1.6265287075920014,-1.389155484055617,0.4167466452166851,0.2783991383419787,27.0,-3.078452157459331,0.9235356472377996,-1.7850287792207058,-1.4404630200132726,0.4321389060039818,0.2486486586883002,28.0,-3.0688547203644143,0.9206564161093244,-1.942963741810696,-1.4916105986860129,0.4474831796058038,0.216265929658122,29.0,-3.0591426609206978,0.9177427982762096,-2.100314809692068,-1.5425963097013575,0.4627788929104073,0.1812606828299208,30.0,-3.04930740498754,0.914792221496262,-2.257062220492025,-1.5934180997844831,0.4780254299353451,0.1436429791550537,31.0,-3.039341266740897,0.9118023800222692,-2.4131853997477783,-1.6440737875634983,0.4932221362690496,0.1034232224925908,32.0,-3.029237417295517,0.9087712251886554,-2.5686631147119865,-1.694561077851757,0.5083683233555272,0.0606121705807243,33.0,-3.0189898482469952,0.9056969544740988,-2.7234736166620435,-1.7448775753225405,0.5234632725967622,0.0152209436363569
9,9.0,3.0,-3.0,18.0,1.0,0.5,-0.5,2.8365,0.0083333333333333,-0.0083333333333333,0.147275,3.0,0.4974430726219445,-0.4974430726219445,2.4954040968092794,0.0249355883861723,-0.0249355883861723,0.2332914186785056,5.0,0.4951170433399702,-0.4951170433399702,2.157109475589621,0.0414583997737485,-0.0414583997737485,0.3080086986104072,7.0,0.4930147122207826,-0.4930147122207826,1.8212888876283135,0.0579092846273825,-0.0579092846273825,0.3715120131815221,9.0,0.491128340699437,-0.491128340699437,1.4876248893820143,0.0742955079048218,-0.0742955079048218,0.4238758745936324,11.0,0.4894487685988191,-0.4894487685988191,1.1558091407759117,0.0906240435814669,-0.0906240435814669,0.4651644420102068,13.0,0.487963604169595,-0.487963604169595,0.8255426453247647,0.1069014848351935,-0.1069014848351935,0.4954318279569031,15.0,0.4866532265407746,-0.4866532265407746,0.4965388086230889,0.1231338430835186,-0.1231338430835186,0.5147224765030451,17.0,0.4854820056533135,-0.4854820056533135,0.1685360228407261,0.1393261008046889,-0.1393261008046889,0.5230718578229344,19.0,0.484384540956536,-0.484384540956536,-0.1586612107645654,0.1554813354983067,-0.1554813354983067,0.520508241535918,21.0,0.4832680734304126,-0.4832680734304126,-0.4851040817906313,0.1715997125932655,-0.1715997125932655,0.5070568224932046,23.0,0.4820512259305435,-0.4820512259305435,-0.8106710198686057,0.1876784976044967,-0.1876784976044967,0.4827454782745387,25.0,0.4806874139645666,-0.4806874139645666,-1.1351390370783123,0.203713112196027,-0.203713112196027,0.4476088589372685,27.0,0.4791546399537963,-0.4791546399537963,-1.4582508551961957,0.2196980720144117,-0.2196980720144117,0.40168999484962,29.0,0.4774430845634562,-0.4774430845634562,-1.7797416605637195,0.2356274825702851,-0.2356274825702851,0.3450407098384206,31.0,0.4755488673609494,-0.4755488673609494,-2.099347844190461,0.2514952788247427,-0.2514952788247427,0.2777216349083038,33.0,0.4734712785712339,-0.4734712785712339,-2.416810365145805,0.2672953493938099,-0.2672953493938099,0.1998020784597065,34.0,0.4723640337652534,-0.4723640337652534,-2.5746584896362226,0.2751680832898974,-0.2751680832898974,0.1568911036324361,35.0,0.4712114938495686,-0.4712114938495686,-2.7318764773185,0.2830216081873902,-0.2830216081873902,0.1113598290104611,36.0,0.4700139947883113,-0.4700139947883113,-2.8884339057561346,0.2908551747671954,-0.2908551747671954,0.0632192639145255,37.0,0.4687719266607988,-0.4687719266607988,-3.044300874117615,0.2986680402115421,-0.2986680402115421,0.0124809160125653
